code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
301079,邵阳液压,2026-04-24,44.3,,PASS,1018,226074189.1368,原始B1,-3.715275,28.193139,45.189673,42.157461,45.237292,55.288462,57.603973,8.6417,1.373,True
601133,柏诚股份,2026-04-24,22.95,,PASS,1059,218110420.6421,超卖缩量B,-16.244538,13.388697,22.908281,20.277445,23.295521,13.235294,66.893424,4.112,1.671,False
000927,中国铁物,2026-04-24,2.98,,PASS,1113,206679258.4179,超卖缩量拐头B,43.667432,75.772485,3.009119,2.952704,2.968125,99.999999,25.0,2.7491,1.7065,False
603163,圣晖集成,2026-04-24,104.18,,PASS,1121,205144125.2295,超卖缩量B,-5.231075,15.197583,108.338556,104.300561,107.729062,20.884956,39.292636,4.8544,0.373,False
301606,绿联科技,2026-04-24,72.16,,PASS,1134,203448160.4112,超卖缩量B,-11.116049,19.296329,73.325857,70.84273,73.275104,20.34632,51.061678,2.0784,0.469,False
300145,南方泵业,2026-04-24,4.83,,PASS,1140,202443480.3444,超卖缩量B,1.391419,21.541015,4.866466,4.766844,4.913437,24.137931,62.037037,3.3613,1.8293,False
300651,金陵体育,2026-04-24,28.79,,PASS,1178,196970910.9795,超卖缩量B,12.78913,39.84871,29.805819,28.335341,29.315625,100.0,34.706617,6.9925,0.9467,False
300943,春晖智控,2026-04-24,29.08,,PASS,1190,194742304.8911,超卖缩量B,-0.858413,23.651568,29.782469,29.055183,29.71125,28.220859,40.253165,3.5639,1.5572,False
600063,皖维高新,2026-04-24,6.96,,PASS,1197,193943381.7275,超卖缩量拐头B,6.004853,39.244078,7.051994,6.938568,7.009271,66.666666,55.172414,2.4854,1.016,True
300400,劲拓股份,2026-04-24,25.76,,PASS,1235,187504822.0085,超卖缩量B,14.746166,22.027621,26.891378,24.717774,26.9575,15.864023,44.795539,5.9976,1.3405,False
300964,本川智能,2026-04-24,68.08,,PASS,1251,185851389.1112,超卖缩量B,-3.318625,11.335295,72.521055,67.620863,72.161563,13.784135,40.717432,3.7004,2.1839,False
300531,优博讯,2026-04-24,19.32,,PASS,1274,182659453.8049,超卖缩量B,31.412992,22.406919,19.790477,19.002743,19.788958,46.405229,31.838565,5.1048,0.6173,False
002408,齐翔腾达,2026-04-24,6.17,,PASS,1278,182233335.1147,超卖缩量B,-16.541973,17.614754,6.509852,6.145807,6.382604,87.499999,34.108527,1.8033,0.6525,True
002824,和胜股份,2026-04-24,27.35,,PASS,1286,181027452.4748,原始B1,11.524581,34.080097,25.535423,23.192459,26.818958,44.86692,78.146718,6.1139,0.2917,False
301251,威尔高,2026-04-24,63.95,,PASS,1309,177479248.2939,超卖缩量B,6.648533,15.282056,64.807327,62.479046,65.214167,36.277603,68.149718,5.9043,0.5443,False
603269,海鸥股份,2026-04-24,14.72,,PASS,1425,159096290.0715,原始B1,7.691345,15.764487,14.903508,14.298166,15.046563,16.438356,59.813084,3.5616,3.2216,False
002039,黔源电力,2026-04-24,20.75,,PASS,1476,151451750.3914,回踩白线B,25.085282,27.530248,20.526501,19.62511,20.973854,12.5,67.948718,3.7379,2.9467,False
002685,华东重机,2026-04-24,7.96,,PASS,1531,146156717.2263,原始B1,-5.243963,24.397175,7.900929,7.610685,8.015833,37.142857,65.76087,5.3435,0.3783,True
603477,巨星农牧,2026-04-24,17.75,,PASS,1578,140039077.5685,原始B1,20.994516,11.255144,17.95146,17.828861,17.974271,44.594595,67.723343,4.1906,1.9879,False
300632,光莆股份,2026-04-24,16.73,,PASS,1584,139348027.4142,原始B1,7.036434,42.28327,16.538408,15.610572,16.726979,70.47619,64.652015,9.1307,1.3939,False
688428,诺诚健华-U,2026-04-24,28.47,,PASS,1593,138150372.0468,超卖缩量B,3.654504,18.891001,29.117688,26.673499,29.100417,41.150442,62.714097,5.8824,0.3171,True
